source_kind,intent,model_id,season,variant_id,manufacturer_sku,quantity,unit,asset_ids,store_id,source_document,source_row,category,size,tier,bsl_mm,status,manufacturer,model_name,note
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,10,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row3,SKI,139 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 139,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,20,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row4,SKI,146 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 146,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,30,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row5,SKI,153 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 153,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,30,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row6,SKI,160 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 160,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,20,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row7,SKI,167 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 167,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,10,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row8,SKI,174 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET E S/MAX 4 + M10 GW L80 174,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,20,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row9,SKI,130 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr M + C5 GW J75 Ra 130,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,20,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row10,SKI,140 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr M + C5 GW J75 Ra 140,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,1,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row11,SKI,100 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 100,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,9,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row12,SKI,100 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 100,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,9,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row13,SKI,110 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 110,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,6,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row14,SKI,110 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 110,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,10,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row15,SKI,120 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,4,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row16,SKI,120 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,1,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row17,SKI,120 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,3,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row18,SKI,70 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L QST V1 Jr XS + C5 GW J75 70,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,5,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row19,SKI,80 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L QST V1 Jr XS + C5 GW J75 80,
SHOP_RECEIPT,ADD,OWNER_REQUIRED_MODEL_ID,2026/27,OWNER_REQUIRED_VARIANT_ID,,5,ASSET_PAIR,OWNER_REQUIRED_ASSET_IDS,OWNER_REQUIRED_STORE,【(株)Yuge 山形蔵王】新店舗投入予定明細_20260914.xlsx,row20,SKI,90 cm,OWNER_REQUIRED_TIER,,UNVERIFIED,SALOMON,SKI SET L QST V1 Jr XS + C5 GW J75 90,
